card,model,flip,count,size,back,belly,bg,knock,colGap,rowGap,padX,padY,drop,rotate,rotateVary,yaw,roll,sway,loop,clip,bio,bioColor,bioSpeed,bioScale,bioContrast,bioCoverage,bioPan,bioEvolve,notes
10 bubble,tang,,10,1.244,#2A4BA0,#E6E4B8,#767C80,,1.769,1.321,,,0.8,,0,,,,,,2,#66856F,0.3073,0.1922,,,,0.4774,
2 shell,brownfish,,2,2.752,#6E4A2E,#E3D2B8,#767C82,,,,,,,,,,,,,,1.362,#0062BA,,,,,,,
3 shell,cutesquid,,3,2.416,#6E4AFF,#4FDBC0,#768582,,,,,,,,,,,,,,,,,,,,,,
4 shell,dancingcrab,,4,1.491,#6E4A2E,#E3D2B8,#767C82,,,,0.2203,0.3399,,,,,,,,,,,,,,,,,
5 shell,sailfish,,5,2.267,#754ACE,#E3D2B8,#767C82,,,0.8432,0.01627,0.05953,0.252,,,-0.8377,,,,,2,#00B134,,,,,,,
6 shell,brownfish,,6,1.93,#6E4A2E,#E3D2B8,#767C82,,2,1.401,,,0.7027,,,,,,,,2,#00229B,,,,,,1.183,
7 shell,brownfish,,7,1,#6E4A2E,#E3D2B8,#767C82,,,,,,,,,,,,,,,,,,,,,,
8 shell,brownfish,,8,1,#6E4A2E,#E3D2B8,#767C82,,,,,,,,,,,,,,,,,,,,,,
9 shell,tunafish,,9,1.345,#6E4A2E,#E3D2B8,#767C82,,,,0.1553,0.2327,,,,,,,,,,,,,,,,,
10 shell,brownfish,,10,1,#6E4A2E,#E3D2B8,#767C82,,,,,,,,,,,,,,,,,,,,,,
A fish,sailfish,,1,4.046,#4A5C6E,#E8ECEE,#767C82,,,,,,,,,,,0,0,,2,#A7120E,,,,,,,"ACES: an apex predator. Pool (public/models): greatwhite hammerhead megalodon mightymeg mosasaurus orca_male orca_female shark sailfish barracuda giantsquid anglerfish whale. Swap the model name, then `npm run sealitaire:fish` rebakes the pack"
A star,furseal,,1,3,#151A22,#F2F2F0,#767C82,,,,,,,,,-0.1973,1.606,0,0,,2,#FF5AFF,,,,,,,
A bubble,hammerhead,,1,7.663,#5A6B72,#E6E9E8,#767C82,,,,,,,,,1.57,,0,0,,0,#66FFE0,,,,,,,
A shell,furseal,,1,4.893,#B94A55,#D9DEE0,#767C82,,,,,,,0.8054,,1.57,,0,0,,2,#418A4B,,,,,,,
J fish,humpback,,1,5.098,#FF6A82,#E42219,#767C82,,,,,,,,1.57,,1.234,,,,2,#664391,,,,,,,COURT: the Seal Survivor roster. Pool: dolphin seaturtle puffer sailfish stingray furseal sealhelper humpback whale giantsquid crabpincer octopus_rig jellyfish manowar cutesquid tunafish clownfish surgeonfish tang brownfish fish2 squid barracuda
J star,sailfish,,1,3.897,#24476B,#DDE6EC,#767C82,,,,,,,,,,,,,,0,#66FFE0,,,,,,,
J bubble,seaturtle,,1,3.524,#3E5F3A,#D8CFA8,#767C82,,,,,,,,,,1.385,0,,,0,#66FFE0,,,,,,,
J shell,dancingcrab,,1,3.755,#8C7A3E,#F2E8C4,#767C82,,,,,,,,,,,,,,0,#66FFE0,,,,,,,
Q fish,orca_female,,1,9.48,#151A22,#F2F2F0,#767C82,,,,,,0.0244,,,1.295,,0,,,0.66,#FF5600,,,,,,,
Q star,furseal,,1,3.469,#4E3A2A,#B69A7C,#767C82,,,,,,,,,,,,0,,0,#66FFE0,,,,,,,
Q bubble,orca_male,,1,4.142,#4A4E58,#E0E0DC,#767C82,,,,,,,,,,,,,,0,#66FFE0,,,,,,,
Q shell,greatwhite,,1,3.766,#B27AA8,#F3DCEF,#767C82,,,,,,,,,,,,,,0,#66FFE0,,,,,,,
K fish,humpback,,1,10,#2E3A48,#C9D2D8,#767C82,,,,,,,,,1.225,,,,,0,#66FFE0,,,,,,,
K star,megalodon,,1,3,#8A3A2E,#E2B9A6,#767C82,,,,,,,,,,,0,,,,,,,,,,,
K bubble,crabpincer,,1,4.224,#B8422A,#E8B48F,#767C82,,,,,,,,,,1.181,,,,2,#B871A8,,,,,,,
K shell,mightymeg,,1,5.448,#7A3E5A,#E4B8C8,#767C82,,,,,,,,,1.57,0.3072,0,,,0,#66FFE0,,,,,,,
