id,seconds,chans,notes
knockbus-p-2-c1,0.988,1,
knockbus-p-2-c2,0.988,1,
knockbus-p-2-c3,0.988,1,
knockbus-p-1-c0,0.904,1,
knockbus-p-1-c1,0.904,1,
knockbus-p-1-c2,0.904,1,
knockbus-p-1-c3,0.904,1,
knockbus-p0-c0,0.844,1,
knockbus-p0-c1,0.844,1,
knockbus-p0-c2,0.844,1,
knockbus-p0-c3,0.844,1,
knockbus-p1-c0,0.802,1,
knockbus-p1-c1,0.802,1,
knockbus-p1-c2,0.802,1,
knockbus-p1-c3,0.802,1,
knockbus-p2-c0,0.772,1,
knockbus-p2-c1,0.772,1,
knockbus-p2-c2,0.772,1,
knockbus-p2-c3,0.772,1,
seal-breach-01-distant,1.210,1,"the seal's celebration voices, put in a room and under the water — they are recordings of an animal in air and sit on top of the table raw. Cast on the react* events."
seal-56-distant,1.701,1,
seal-boost-01-distant,2.981,1,
seal-boost-02-distant,1.778,1,
seal-boost-03-distant,1.554,1,
seal-boost-04-distant,1.405,1,
seal-wa-01-distant,1.042,1,
seal-wa-02-distant,1.015,1,
seal-07-distant,1.251,1,
seal-13-distant,1.228,1,
seal-call-02-distant,1.903,1,
eliarf-boost-01-distant,1.454,1,
hg-ui-blip-oil-a-h-2,0.288,1,
hg-ui-blip-oil-a-h-1,0.288,1,
hg-ui-blip-oil-a-h0,0.288,1,
hg-ui-blip-oil-a-h1,0.288,1,
hg-ui-blip-oil-a-h2,0.288,1,
hg-ui-blip-owl-h-2,0.547,1,
hg-ui-blip-owl-h-1,0.435,1,
hg-ui-blip-owl-h0,0.346,1,
hg-ui-blip-owl-h1,0.288,1,
hg-ui-blip-owl-h2,0.288,1,
hg-ui-blip-arky-h-2,0.479,1,
hg-ui-blip-arky-h-1,0.381,1,
hg-ui-blip-arky-h0,0.303,1,
hg-ui-blip-arky-h1,0.288,1,
hg-ui-blip-arky-h2,0.288,1,
hg-ui-blip-blue-h-2,0.288,1,
hg-ui-blip-blue-h-1,0.288,1,
hg-ui-blip-blue-h0,0.288,1,
hg-ui-blip-blue-h1,0.288,1,
hg-ui-blip-blue-h2,0.288,1,
hg-ui-blip-borky-h-2,0.288,1,
hg-ui-blip-borky-h-1,0.288,1,
hg-ui-blip-borky-h0,0.288,1,
hg-ui-blip-borky-h1,0.288,1,
hg-ui-blip-borky-h2,0.288,1,
hg-ui-blip-dove-h-2,0.297,1,
hg-ui-blip-dove-h-1,0.288,1,
hg-ui-blip-dove-h0,0.288,1,
hg-ui-blip-dove-h1,0.288,1,
hg-ui-blip-dove-h2,0.288,1,
hg-ui-blip-froggy-h-2,0.660,1,
hg-ui-blip-froggy-h-1,0.524,1,
hg-ui-blip-froggy-h0,0.417,1,
hg-ui-blip-froggy-h1,0.331,1,
hg-ui-blip-froggy-h2,0.288,1,
hg-ui-blip-snappy-h-2,0.621,1,
hg-ui-blip-snappy-h-1,0.494,1,
hg-ui-blip-snappy-h0,0.393,1,
hg-ui-blip-snappy-h1,0.312,1,
hg-ui-blip-snappy-h2,0.288,1,
hg-ui-blip-woody-h-2,0.288,1,
hg-ui-blip-woody-h-1,0.288,1,
hg-ui-blip-woody-h0,0.288,1,
hg-ui-blip-woody-h1,0.288,1,
hg-ui-blip-woody-h2,0.288,1,
hg-ui-blip-click-discus-h-2,0.288,1,
hg-ui-blip-click-discus-h-1,0.288,1,
hg-ui-blip-click-discus-h0,0.288,1,
hg-ui-blip-click-discus-h1,0.288,1,
hg-ui-blip-click-discus-h2,0.288,1,
hg-ui-blip-sparky-h-2,0.288,1,
hg-ui-blip-sparky-h-1,0.288,1,
hg-ui-blip-sparky-h0,0.288,1,
hg-ui-blip-sparky-h1,0.288,1,
hg-ui-blip-sparky-h2,0.288,1,
hg-ui-blip-menu-blockhead-h-2,0.288,1,
hg-ui-blip-menu-blockhead-h-1,0.288,1,
hg-ui-blip-menu-blockhead-h0,0.288,1,
hg-ui-blip-menu-blockhead-h1,0.288,1,
hg-ui-blip-menu-blockhead-h2,0.288,1,
hg-ui-blip-menu-rooster-h-2,0.288,1,
hg-ui-blip-menu-rooster-h-1,0.288,1,
hg-ui-blip-menu-rooster-h0,0.288,1,
hg-ui-blip-menu-rooster-h1,0.288,1,
hg-ui-blip-menu-rooster-h2,0.288,1,
hg-ui-blip-snarky-h-2,0.288,1,
hg-ui-blip-snarky-h-1,0.288,1,
hg-ui-blip-snarky-h0,0.288,1,
hg-ui-blip-snarky-h1,0.288,1,
hg-ui-blip-snarky-h2,0.288,1,
hg-ui-blip-menu-dugg-h-2,0.288,1,
hg-ui-blip-menu-dugg-h-1,0.288,1,
hg-ui-blip-menu-dugg-h0,0.288,1,
hg-ui-blip-menu-dugg-h1,0.288,1,
hg-ui-blip-menu-dugg-h2,0.288,1,
hg-ui-blip-menu-tchak-h-2,0.288,1,
hg-ui-blip-menu-tchak-h-1,0.288,1,
hg-ui-blip-menu-tchak-h0,0.288,1,
hg-ui-blip-menu-tchak-h1,0.288,1,
hg-ui-blip-menu-tchak-h2,0.288,1,
hg-ui-blip-menu-bic-h-2,0.288,1,
hg-ui-blip-menu-bic-h-1,0.288,1,
hg-ui-blip-menu-bic-h0,0.288,1,
hg-ui-blip-menu-bic-h1,0.288,1,
hg-ui-blip-menu-bic-h2,0.288,1,
hg-ui-blip-menu-20k-h-2,0.723,1,
hg-ui-blip-menu-20k-h-1,0.575,1,
hg-ui-blip-menu-20k-h0,0.457,1,
hg-ui-blip-menu-20k-h1,0.363,1,
hg-ui-blip-menu-20k-h2,0.288,1,
hg-ui-blip-menu-plankton-h-2,0.288,1,
hg-ui-blip-menu-plankton-h-1,0.288,1,
hg-ui-blip-menu-plankton-h0,0.288,1,
hg-ui-blip-menu-plankton-h1,0.288,1,
hg-ui-blip-menu-plankton-h2,0.288,1,
hg-ui-blip-menu-terminal-h-2,0.288,1,
hg-ui-blip-menu-terminal-h-1,0.288,1,
hg-ui-blip-menu-terminal-h0,0.288,1,
hg-ui-blip-menu-terminal-h1,0.288,1,
hg-ui-blip-menu-terminal-h2,0.288,1,
