id,name,desc,levelDescs,review,maxStacks,enabled,weight,cardArt,sfx,weaponName,weaponNameLaser
dumbo,Dumbo Octopus,Charms nearby enemies with it's cute self.,,,8,FALSE,1,DumboOctopus,,,
harp,Harp Seal,Charming music for cherubs.,,,8,FALSE,1,SeaAnemone,,,
scallopSquirter,Scallop Squirter,Bubble Blasters,,,12,FALSE,1,SeaAnemone,,,
oysterBlaster,Oyster Blaster,Exploding pearl shot.,,,8,TRUE,1,Periwinkles,,,
razorClam,Bivalve Blades,Razor clam shells that slice and dice.,,,8,TRUE,1,Periwinkles,,,
sardineSwirl,Sardine Swirl,Silvery death.,,,8,TRUE,1,Sardines,,,
octoGrab,Octopus Grabber,Tentacles reel fish in. ,,,8,TRUE,1,Octopus,,,
orcaFamily,Orca Family,Buds that'll break boats.,,,3,TRUE,1,OpeanOcean_001,,,
dolphinPod,Dolphin Pod,{effect} ,,,6,FALSE,1,DeepSea_002,,,
musselVolley,Bearded Barrage,Your strike launches homing mussels.,1:Full-charge strike fires 8 homing mussels at once,,5,TRUE,1,Reef_002,,,
projectileAmount,+1,One more of all your things.,,,3,TRUE,0.5,Beach_002,,,
orbiterAmount,Entourage,More friends.,"1:One more of every companion on a ring around you — shrimp, escorts, harps, clubs",,3,TRUE,0.5,OpeanOcean_001,,,
areaOfEffect,Splash Zone,{effect} ,,,5,TRUE,0.6,Reef_003,,,
companionSize,Big Rigz,Companion size up!,,,5,TRUE,0.6,Humpback,,,
biolumShock,Shocker!,Electic shots and strikes.,,,6,TRUE,0.2,AnglerFish,,{element} Pebbles,{element} Lasers
biolumVenom,Poisoned!,All poison everything.,,,6,TRUE,0.2,AnglerFish,,{element} Pebbles,{element} Lasers
biolumChill,A chill guy.,Wicked chill.,,,6,TRUE,0.2,AnglerFish,,{element} Pebbles,{element} Lasers
biolumInfection,Infected!,Call the CDC.,,,6,TRUE,0.2,AnglerFish,,{element} Pebbles,{element} Lasers
club,Basic Baby Club,Taking the power back.,"1:Straps a club to each fin tip — swim faster, swing harder. Everything it touches is thrown.",,6,TRUE,1,SeaLion,,,
clubThrow,Jugglin' Club,Clown styley. ,"1:Releasing a strike throws clubs that seek what you painted, and shove what they find|2:Another club on the ring around you — unless the Hurler is what your fins are holding",,5,TRUE,1,SeaLion,,,
clubBoom,Boom Boom Club,Explosive clubbing.,1:Club hits go off in a blast that catches the crowd behind them|2:Another club on the ring around you — unless Boom Boom Club is what your fins are holding,,5,TRUE,1,DeepSea_003,,,
clubIce,Iced Out in the Club,Freeze!,"1:Club hits stack a slow, and lock the body when it maxes|2:Another club on the ring around you — unless Cold Snap is what your fins are holding",,5,TRUE,1,OpeanOcean_003,,,
clubZap,Electric Club,Zappin' Up!,1:Zap a bunch of fish|2:Zap fishes,,5,TRUE,1,DeepSea_003,,,
clubPower,Clubs Going Up!,"Bigger, badder clubs.","1:Every club in the run — swung, caromed, thrown or orbiting — hits harder and throws further",,5,TRUE,1,SeaStar,,,
homingShot,Homing Anemone ,Fin shots homing in on enemies.,"1:Every shot you fire curves onto a target, favouring the big ones",,5,TRUE,1,SeaAnemone,,Pigeon Powered Homing Pebbles,Homing Lasers
maneater,Maneater,"Eat human flesh, increase seal strength.",,,5,TRUE,0.7,GreatWhite,,,
ironLung,Iron Lung,More air = more damage.,,,5,TRUE,0.7,Humpback,,,
