id,slot,text,review,enabled,weight,notes
shankar,nickname,Shankar,TRUE,,,
Jinping,nickname,Jinping,TRUE,,,
tingle,nickname,Tingle,TRUE,,,
tingleCopy,nickname,Bingo,TRUE,,,
tingleCopy2,nickname,Jorge,TRUE,,,
tingleCopy3,nickname,Job,TRUE,,,
tingleCopy4,nickname,Snorter,TRUE,,,
tingleCopy5,nickname,Snoot,TRUE,,,
tingleCopy6,nickname,Snout,TRUE,,,
tingleCopy7,nickname,Sniffer,TRUE,,,
tingleCopy8,nickname,Muff,TRUE,,,
tingleCopy9,adjective,Tuff,TRUE,,,
tingleCopy10,adjective,Sly,TRUE,,,
slickCopy,nickname,Schlup,TRUE,,,
slickCopy2,nickname,Sloop,TRUE,,,
