id,size,skin,surface,notes
enemyMightyMeg,2,,noise:mightyMeg+toon:mightyMeg,
enemyMosasaur,2.3,,noise:mosasaur+toon:mosasaur,"The mosasaur boss. Same multiplier as the megalodon on purpose - the two fit values (7.4 and 7.0) are what separate them, so this column stays comparable between the two biggest bodies. 7.4 x 2.3 = 17.0 on screen, and bossMosasaur's 1.6 takes it to 27.2. Measured by tools/boss-scale-check.mjs"
enemyOrcaBull,2.8,,biolum:orcaHide,The boss orca bull. Cut from the family file by tools/orca-split.mjs.
enemyOrcaCow,2.8,,biolum:orcaHide,The boss orca cow. bossOrca rolls between this and the bull per arrival.
enemyOyster,2.9,,,
enemySailfish,2,,,"3.0 fit x this = 6.0 on screen: the biggest fish in the wave roster, above the barracuda (4.27) and just under the dolphin (7.2), which is the order the three are in in life. It had NO ROW until now, so it spawned at 1 - a 3.0-unit sailfish swimming beside a 4.27-unit barracuda it is supposed to be a tier ABOVE. The hitbox follows the visual, so its collision radius goes 0.5 -> 1.0, and enemies.csv gives it scaleVariance 0.22 on top so a pass of them is a spread of body sizes rather than one fish drawn twice."
enemySeaTurtle,3.08,,,
enemyShark,2.66,,noise:shark+toon:shark,
enemySquid,1,squidGlow,biolum:squidGlow,"Added for the SKIN, not the size. size=1 is what this asset already had - it has never carried a row, and an asset with no row spawns at 1 - so this changes nothing about how big the squid is or how big it is to hit. Left deliberately: the hitbox is derived from the visual scale, so retuning it here would be a balance edit smuggled in with a look. Its 2.8 fit against enemyShark's 2.66x2.5 is a separate question, worth asking on its own."
enemyStingray,3.1,,,
enemyTuna,,,noise:tuna+toon:tuna+biolum:tuna,"Added for the SURFACE, not the size. Size left BLANK on purpose: blank is exactly what an asset with no row already gets, so this row changed what the tuna wears and nothing about how big it is or how big it is to hit. Its night variant enemyGlowTuna has no row either and so is also 1 - keep these two equal, or the school changes size at dusk. The night one wears lantern rather than these three layers, on purpose."
enemyWalkingCrab,2.3,,noise:walkingCrab+toon:walkingCrab+biolum:carapace,matched to enemyEmberCrab; 2.3 reproduces the old crab's on-screen height on the new rig
harp,1,,,"the orbiting harp - fit is 1.6 world units against the seal's 2.6, so this column is the multiple of a deliberately under-sized instrument"
headstone,1,,,"the upright run marker. Size 1: `fit` in assets.js (1.8) is where the scale lives, and it is one factor shared across the three stones so the set stays in proportion."
levelOrb,2.2,,,"The level blob. Grown per spawn by systems/levelOrb.js rather than built by createVisual, so this row and the entry in assets.js exist for the SIZE alone - the blob normalises its own geometry to levelPickup.blob.fit first, and this is the multiplier on top. Sized between the coral (2.4) and the strike orb (1.18): it has to read as the biggest prize in the water without being wider than the circle that collects it."
missile,2,,noise:mussel+toon:mussel,"The homing mussel. SIZE 2 IS NOT A CHOICE - it is what this asset already had, and assets.js's fit (0.58) is the oval it replaced measured exactly, so the model swap carried no size change. The surface is the new part: the shell is lit now and wears the Perlin-and-banding pair. Shares the mussel preset with musselOpen on purpose - they are one animal in two states."
moneyRoll1,1,,,"the yacht's explosive — a banded roll of hundreds. Size is 1 on purpose: the sizing that matters is `fit` in assets.js, set to the length of the oval barrel this replaces, so the swap is a look change and not a balance one."
moneyRoll2,1,,,spare roll from the same pack. Unused by the yacht's two guns; here so a row exists before anybody reaches for it — an asset with no row spawns at 1 silently.
moneyRoll3,1,,,the yacht's seeker — the shorter fit of the four
moneyRoll4,1,,,"spare roll, seeker size. See moneyRoll2."
musicNote,1,,biolum:musicNote,the harp's note
musselOpen,2,,noise:mussel+toon:mussel,"The mussel's detonation state. Equal to missile on purpose - the two are the same animal and the pop is the shell OPENING, not the shell growing, so any difference here would read as the wrong thing. Same preset too: one surface, two states."
octoGrabber,1.34,,biolum:octoGrabber,
orcaFriendBull,1,,noise:orcaFriendBull+toon:orcaFriendBull,"The pod leader — Orca Family, slot 0."
orcaFriendCalf,1,,biolum:orcaFriendCalf,"Orca Family, slot 2. Smallest of the three."
orcaFriendCow,1,,biolum:orcaFriendCow,"Orca Family, slot 1."
plaque,1,,,the small slanted run marker. See headstone.
rapidFireOrb,2.4,,,
razorBlade,1,,,
seagull,9.54,,,
sealTeam,2.72,,noise:sealTeam+toon:sealTeam,
ship,2.36,,noise:ship+toon:ship,
shrapnel,2.52,,,
shrimp,2.36,,,
starfish,6.2,,,
strikeOrb,1.18,,,
tomb,1,,,the big gabled run marker. See headstone.
trapBubble,5.02,,,
trawler,0.84,,,
whale,2.6,,toon:whale+biolum:whale,"The bowhead sweeper. 12 fit x this = 31.2 world units of animal in an 80-wide frame - bigger than the mosasaur boss at 27.2, which is the largest thing in the game otherwise. Deliberately out of family with the boss column: the sweep reads as relief rather than as another arrival only if the silhouette is unmistakable at a glance. Its gulp reach is NOT derived from this - see whale.mouthRadius in spawning.csv."
