id,slot,text,review,weight,enabled,bosses,perk,notes
foodchains,epithet,Breaker of Food Chains,,,,bossShark bossOrca bossHammerhead,,
jawbreaker,epithet,the Jawbreaker,,,,bossShark bossOrca,,
Wet,prefix,Wet,,,,bossShark bossOrca bossHammerhead,,
podfather,epithet,the Podfather,,,,bossOrca,,
shocking,prefix,Shockin,,,,,electric,
storm,prefix,Storm,,,,,electric,
live,prefix,Sparky,,,,,electric,
liveCopy,prefix,Electro,,,,,electric,
liveCopy2,prefix,Elektra,,,,,electric,
livewire,epithet,the Live Wire,,,,,electric,
thunderhead,epithet,the Thunderfish,,,,bossShark bossOrca bossHammerhead,electric,
staticdeath,epithet,the Shocker,,0.7,,,electric,
rushing,prefix,Slipp'ry,,,,bossShark bossOrca bossSquid bossAnglerfish,lunge,
hurtling,prefix,Wild,,,,,lunge,
sudden,prefix,Quick,,,,bossShark bossOrca bossSquid bossMosasaur bossAnglerfish,lunge,
onrush,epithet,the Nimble,,,,,lunge,
bluebolt,epithet,the Hard 2 Sea,,0.7,,bossBoat bossYacht,lunge,
blinking,prefix,Blinkin',,,,,teleport,
nowhere,prefix,Shifty,,,,,teleport,
shifting,prefix,Tele,,,,,teleport,
everywhere,epithet,AKA Big Daddy Dorsal Fin,,,,bossShark bossOrca bossHammerhead,teleport,
hereandgone,epithet,da Dorsal Daddy,,,,,teleport,
juggalo,prefix,Half,,,,bossShark bossOrca bossSquid bossCrab bossAnglerfish,phase,
ghost,prefix,Ghastly,,,,,phase,
hollow,prefix,Hollow,,,,,phase,
neverthere,epithet,the Ninja,,,,,phase,
halfseen,epithet,the Mystery of Naragansett,,,,,phase,
buzz,epithet,the Buzzer,,,,,electric,
bopper,epithet,the Big Bopper,,,,,,
chonky,prefix,Big,,,,,giant,
humungo,prefix,Humungo,,,,,giant,
bigboy,prefix,Chonky,,,,,giant,
wholeboat,epithet,the GOAT Boat,,,,bossBoat bossYacht,giant,
zoomin,prefix,Zoom,,,,,swift,
turbo,prefix,Turbo,,,,,swift,
speeddemon,epithet,the Speed Demon,,,,,swift,
lazer,prefix,Lazer,,,,,eyebeam,
glarin,prefix,Glarin',,,,,eyebeam,
deathstare,epithet,the Death Stare,,,,,eyebeam,
doublebeam,epithet,the Longbeamer,,,,bossBoat bossYacht,eyebeam,
kegger,prefix,Powder,,,,,barrels,"opened to every archetype: bossPerks.csv lets ANY boss roll `barrels`, and while these two were tagged to the boats a shark with barrels had no word to say so — 600 of 600 unnamed in tools/boss-test.mjs. A fish-flavoured barrels word would be better than a powder keg on a shark; this is the stopgap that keeps the telegraph honest."
boomboom,prefix,Boomin,,,,,barrels,"opened to every archetype for the same reason as `kegger`."
barrelroller,epithet,the Keg Party,,,,bossYacht,barrels,
strong,prefix,Fishy,,,,,spitfish,
chummy,prefix,Chummy,,,,bossShark bossOrca bossHammerhead,spitfish,
fishspitter,epithet,the Fish Spitter,,,,,spitfish,
twinfin,prefix,aaa,,,FALSE,,finfish,
slinger,epithet,the Fishy,,,TRUE,,finfish,
fingunner,epithet,the Bubba Baitfish Blaster,,,,,finfish,
shellback,epithet,and the Shell'd Swarmers,,,,,turtles,
guarded,prefix,Scaly,,,,,turtles,
shellsquad,epithet,the Turtle Guarded,,,,,turtles,
rusty,prefix,Rusty,,,,bossBoat,,
salty,prefix,Salty,,,,bossShark bossOrca bossSquid bossHammerhead bossBoat bossYacht bossAnglerfish,,
barnacle,prefix,Barnacle,,,,bossOrca bossBoat,,
diesel,prefix,Diesel,,,,bossBoat bossYacht,,
capn,prefix,Cap'n,,,,bossBoat,,
olsailor,prefix,H.M.S.,,,FALSE,bossBoat,,
chumbucket,prefix,Chumbucket,,,FALSE,bossBoat,,
dredge,prefix,Dredge,,,,bossBoat,,
trawlin,prefix,Trawlin',,,,bossBoat,,
seadog,prefix,Slender,,,FALSE,bossBoat,,
groovy,prefix,Grimy,,0.7,,bossBoat,,
hull,root,hull,,,,bossBoat,,
keel,root,keel,,,,bossBoat,,
prow,root,bow,,,,bossBoat,,
bilge,root,sides,,,TRUE,bossBoat,,
scow,root,planks,,,,bossBoat,,
trawler,root,trawler,,,FALSE,bossBoat,,
rudder,root,rudder,,,,bossBoat,,
deck,root,deck,,,,bossBoat bossYacht,,
netloss,epithet,the Net Loss,,,,bossBoat,,
dieseldad,epithet,the Diesel Daddy,,,,bossBoat,,
bilgerat,epithet,the Yacht Rocker,,,,bossYacht,,
overboard,epithet,the Rusty Tugjob,,,,bossBoat,,
boatpayment,epithet,the Late Payment,,,,bossBoat,,
taxwriteoff,epithet,the Tax Write-Off,,1,,bossBoat bossYacht,,
seaworthyish,epithet,"the ""Bigger Boat""",,,,bossBoat bossYacht,giant,
quota,epithet,the Quota Filler,,,,bossBoat,lunge,
mariana,epithet,from Cape Ann,,,,bossBoat,,Reads as a hometown rather than a title — the one epithet that is not of the form: the something.
blockisland,epithet,from Block Island Sound,,,,bossBoat bossYacht,,Reads as a hometown rather than a title — the one epithet that is not of the form: the something.
lastvoyage,epithet,the Final Countdown,,1,,bossBoat bossYacht,,
squidink,prefix,Inky,,,,bossSquid,,
sucky,prefix,Sucky,,,,bossSquid,,
squidkraken,prefix,Krackin',,,,bossSquid,,
squidsucker,root,sucker,,,,bossSquid,,
squidtentacle,root,tentacle,,,,bossSquid,,
squidbeak,root,beak,,,,bossSquid,,
squidarms,epithet,the Ink Jet,,,,bossSquid,,
squidinkwell,epithet,the Inkwell Grandpappy,,,,bossSquid,,
crabiron,prefix,Iron,,,,bossCrab,,
crabshell,prefix,Armored,,,,bossCrab,,
crabbarnacle,prefix,Barnacle,,,,bossCrab,,
crabgrave,prefix,Grave,,,,bossCrab,,
crabrime,prefix,Rocky,,,TRUE,bossCrab,,
crabchitin,prefix,Chitin,,,,bossCrab,,
crabstone,prefix,Stone,,,,bossCrab,,
crabbottom,prefix,Bottom,,,,bossCrab,,
crabsilt,prefix,Silt,,,FALSE,bossCrab,,
crabking,prefix,King,,1,,bossCrab,,One in the set that says outright what it is - kept rarer so it stays a surprise.
crabclaw,root,claw,,,,bossCrab,,
crabpincer,root,pincers,,,,bossCrab,,
crabback,root,back,,,FALSE,bossCrab,,
crabcrusher,root,crusher,,,,bossCrab,,
crabclack,root,exoskeleton,,,,bossCrab,,
crabmolt,root,molt,,,FALSE,bossCrab,,
crabgrip,root,grip,,,,bossCrab,,
crabplate,root,boiler,,,,bossCrab,,
crabironclad,epithet,the Crustdaddy,,,,bossCrab,,
crabbottomfeeder,epithet,the Bottom Feeder,,,,bossCrab,,
crabnutcracker,epithet,the Crackin' Claw Clobberer,,,,bossCrab,,
crabtenlegged,epithet,AKA Daddy Long Legs,,,,bossCrab,,
crabsideways,epithet,the Sideways Short King,,,,bossCrab,,
crabseabed,epithet,the Crusty,,,,bossCrab,,"Reads as a home rather than a title - the crab's answer to ""from Mariana""."
crablowtide,epithet,the Clawbreaker,,0.7,,bossCrab,,
crabhardway,epithet,the Spicy Cajun,,0.6,,bossCrab,,
mosaancient,prefix,Ancient,,,,bossMosasaur,,"The mosasaur's own vocabulary — seven parts, the same handful the kraken got. It draws the general pool as well (ownNames is blank in bosses.csv), because unlike the crab and the boat this animal genuinely does swim and hunt, so the pool's swimming words are not a lie about it. These only add what the pool cannot say: that it is a REPTILE and an old one."
mosafossil,prefix,Fossil,,,,bossMosasaur,,
mosascale,root,fin,,,,bossMosasaur,,
mosaflipper,root,flipper,,,,bossMosasaur,,
mosagullet,root,jaw,,0.8,,bossShark bossOrca bossMosasaur,,
mosalastlizard,epithet,the Long Long Lizard,,,,bossMosasaur,,
mosadeepage,epithet,the Fossil,,0.7,,bossMosasaur,,
hammerhammer,prefix,Hammer,,,,bossHammerhead,,"The hammerhead's own vocabulary. It draws the general pool as well — ownNames is blank in bosses.csv, and it is a shark among sharks, so the pool's words are true of it. These only add what the pool cannot: the head, and what that head is for."
hammersledge,prefix,Sledge,,,,bossHammerhead,,
hammeranvil,root,toolbag,,,,bossHammerhead,,
hammerbrow,root,tool,,,,bossHammerhead,,
hammermc,nickname,M.C. Hammer,,,,bossHammerhead,,
hammergold,nickname,Hammered Gold,,,,bossHammerhead,,
hammerwedge,root,wedge,,0.8,,bossHammerhead,,
hammerbroadside,epithet,the Blunt Object,,,,bossHammerhead,,
hammersidewinder,epithet,the Heavy Hammer,,0.7,,bossHammerhead,,
nickdorsel,nickname,Ol' Sailor Dorseldorf,,.6,,bossBoat,,The one already written into the Rive artboard as its default name.
nickbarnacle,nickname,HMS Barnacle Billy,,.6,,bossBoat,,A hand-written whole name — no prefix or root involved.
nicktrawler,solo,The Rusty Trombone Jones,,.6,,bossBoat,,"A ship's name is complete on its own — ""The Rusty Maiden the Net Loss"" is not a name."
nickcaptain,nickname,Captain Chumplestilkstin,,.7,,bossBoat,,Reads as a person rather than as an assembled monster.
nickskipper,nickname,Skipper Evil Bakalar,,0.9,FALSE,bossBoat,,
nickmarlow,solo,Young Elmo's Fire,,0.9,,bossBoat,,
ron,solo,Jonald and Ronathan's Big Big Boat!,,,,bossBoat bossYacht,,
swallow,epithet,Swallower of Men,,,,,,
gentle,epithet,The Gentle Shark,,,,bossShark,,
bilgebash,epithet,the Bilge Basher,,,,,,
master,epithet,the Master of Bait,,,,bossBoat,,
snatch,epithet,the Big Snatcher,,,,bossShark,,
gilly,epithet,the Gillyman,,,,bossShark,,
whopper,epithet,the Whopper,,,,,giant,
slime,prefix,Slime,,,,,,
Salt,prefix,Salt,,,,,,
Stealth,prefix,Portal,,,,,teleport,
Hungry,prefix,Hungry,,,,,lunge,
Rot,prefix,Rotten,,,,bossShark bossSquid bossCrab bossMosasaur bossHammerhead,,
Mad,prefix,Mad,,,,,,
Scurvy,prefix,Scurvy,,,,,,
Slick,prefix,Slick,,,,,swift,
leather,prefix,Leather,,,,bossShark,,
violent,prefix,Violent,,,,,,
electro,prefix,Electro,,,,,electric,
bone,root,bone,,,,bossShark bossOrca bossMosasaur bossHammerhead bossAnglerfish,,
gill,root,gill,,,,"bossShark, ",,
gullet,root,gullet,,,,bossShark bossOrca bossMosasaur bossHammerhead,,
finz,root,finz,,,,bossShark bossOrca bossMosasaur bossHammerhead,,
bigshark,solo,It's a Big Ass Shark!,,,FALSE,bossShark,giant,
s,prefix,Calamari,,,,bossSquid,,
deep,prefix,Deep,,,,bossSquid,,
hentai,prefix,Hentai,,.5,,bossSquid,,
Ink'd,prefix,Ink'd,,,,bossSquid,,
beak,root,beak,,,,bossSquid,,
coil,root,tentacle,,,,bossSquid,,
pod,root,pod,,,FALSE,bossSquid,,
the Seal Strangler,epithet,the Seal Strangler,,,,bossSquid,,
", Splasher of Bandits",epithet,", Splasher of Bandits",,,,bossSquid,,
the Sticky,epithet,the Sticky,,,,bossSquid,,
gilded,prefix,Gilded,,,,bossYacht,,
champagne,prefix,Champagne,,,,bossYacht,,
offshore,prefix,Polished,,,,bossYacht,,
teakwood,prefix,Fancy,,,,bossYacht,,
regatta,prefix,Wealthy,,,,bossYacht,,
commodore,prefix,Rich,,,,bossYacht,,
blacktie,prefix,Shiny,,,,bossYacht,,
starboard,prefix,Elite,,,FALSE,bossYacht,,
vintage,prefix,Immaculate,,1,,bossYacht,,
sunloung,root,lounger,,,,bossYacht,,
flybridge,root,veranda,,,,bossYacht,,
transom,root,foyer,,,,bossYacht,,
cutter,root,yacht,,,,bossYacht,,
stateroom,root,cruiser,,,,bossYacht,,
gangway,root,decks,,,,bossYacht,,
tender,root,lounge,,,,bossYacht,,
ycrest,root,crest,,,,bossYacht,,
taxhaven,epithet,the Tax Haven,,,,bossYacht,,
yachtbozo,epithet,the Boat Full of Billionaire Bozos,,,,bossYacht,,
yachtbezos,epithet,the Tech Bro Bubble Buster,,,,bossYacht,,
yachtwine,epithet,the Wine and Cheese Cask,,,,bossYacht,,
secondboat,epithet,the Hard Seltzer Sipper,,,,bossYacht,,
uninsured,epithet,the Overcompensator,,,,bossYacht,,
maidenvoy,epithet,the Mid-Life Crisis,,,,bossYacht,,
yclub,epithet,of the Yacht Club,,,,bossYacht,,Reads as a membership rather than a title — the same exception `mariana` makes for the trawler.
deductible,epithet,the Deductible,,1,,bossYacht,,
charitable,epithet,"the ""Charitable Contribution""",,1,,bossYacht,,
floatingman,epithet,the Floating Man Cave,,1,,bossYacht,,
percent,epithet,the One Percenter,,1,,bossYacht,,
nickbuoyant,nickname,The Yacht Daddyboat,,1,,bossYacht,,A hand-written whole name — no prefix or root involved.
nickchaz,solo,Big Chad's Big Yacht,,0.9,,bossYacht,,
nickbrut,solo,A Yacht Full of MAGA Bros,,.4,,bossYacht,,
lilyachty,nickname,Lil' Yachty,,0.9,,bossYacht,,
bigyachty,nickname,Big Yachty,,0.9,,bossYacht,giant,
yachtsolo,solo,The OffShore Bank Account,,1,,bossYacht,,"A ship's name is complete on its own — see nicktrawler."
yachtsolo2,solo,S.S. Sea Ya Lata Buddy!,,0.8,,bossYacht,,
moneyburner,epithet,the Money Burner,,0.8,,bossYacht,,
moneymissile,epithet,the Money Missile,,0.8,,bossYacht,,
wastespace,epithet,the Waste of Space,,0.8,,bossYacht,,
bravo,epithet,brought to you by Bravo,,0.8,,bossYacht,,
cashpit,epithet,the Cash Pit,,0.8,,bossYacht,,
cashmoney,epithet,the Cash Money Millionaires,,0.8,,bossYacht,,
hunksteel,epithet,the Hunk,,0.8,,bossBoat bossYacht,,
anglerlure,prefix,Illumi,,,,bossAnglerfish,,
anglerlantern,prefix,Football,,,,bossAnglerfish,,
anglerabyss,prefix,Abyssal,,,,bossAnglerfish,,
anglergulper,prefix,Gulp,,0.8,,bossAnglerfish,,
anglerlight,root,light,,,,bossAnglerfish,,
anglerglow,root,glow,,,,bossAnglerfish,,
anglerangler,root,fish,,0.8,,bossAnglerfish,,
anglerbait,epithet,the Scary,,,,bossAnglerfish,,
anglerbaitCopy,epithet,the Terrifier,,,,bossAnglerfish,,
anglerbaitCopy2,epithet,the Frightening,,,,bossAnglerfish,,
anglerdark,epithet,of the The Very Deep,,,,bossAnglerfish,,
saddlepre,prefix,Fantastical,,,,,saddle,"PLACEHOLDER — a name for a boss that opens a chaotic butterfly-shaped field around itself — the danger is the crossover through the middle, where the boss is. 1-2 words for the prefix, 2-4 for the epithet. Slot: prefix. Seen on the boss banner and the death screen the moment that boss arrives."
saddleep,epithet,the Strange Attractor,,,,,saddle,"PLACEHOLDER — a name for a boss that opens a chaotic butterfly-shaped field around itself — the danger is the crossover through the middle, where the boss is. 1-2 words for the prefix, 2-4 for the epithet. Slot: epithet. Seen on the boss banner and the death screen the moment that boss arrives."
ringpre,prefix,Swirly,,,,,ring,"PLACEHOLDER — a name for a boss that wears a spinning ring of debris with a hollow middle and a fast rim. 1-2 words for the prefix, 2-4 for the epithet. Slot: prefix. Seen on the boss banner and the death screen the moment that boss arrives."
ringep,epithet,the Swirled,,,,,ring,"PLACEHOLDER — a name for a boss that wears a spinning ring of debris with a hollow middle and a fast rim. 1-2 words for the prefix, 2-4 for the epithet. Slot: epithet. Seen on the boss banner and the death screen the moment that boss arrives."
echopre,prefix,Ecco,,,,,echo,"PLACEHOLDER — a name for a boss that hands your own shots back as pairs that drift apart and come at you from two sides. 1-2 words for the prefix, 2-4 for the epithet. Slot: prefix. Seen on the boss banner and the death screen the moment that boss arrives."
echoep,epithet,the Feedback Loop,,,,,echo,"PLACEHOLDER — a name for a boss that hands your own shots back as pairs that drift apart and come at you from two sides. 1-2 words for the prefix, 2-4 for the epithet. Slot: epithet. Seen on the boss banner and the death screen the moment that boss arrives."
releasepre,prefix,Strange,,,,,release,"PLACEHOLDER — a name for a boss that draws its attack in the water first and then fires down the drawn line, very fast. 1-2 words for the prefix, 2-4 for the epithet. Slot: prefix. Seen on the boss banner and the death screen the moment that boss arrives."
releaseep,epithet,the Released.,,,,,release,"PLACEHOLDER — a name for a boss that draws its attack in the water first and then fires down the drawn line, very fast. 1-2 words for the prefix, 2-4 for the epithet. Slot: epithet. Seen on the boss banner and the death screen the moment that boss arrives."
