id,group,kind,label,plural,unlock,template,review,unit,lower,bare,percentOfOne,notes
dolphinPodLevel,,level,dolphin pod,,dolphins.,,,,,,,"The card that raises this is a STUB — disabled in upgrades.csv, and no system reads the stat yet (see CONFIG.upgrades.dolphinPod). The label is here anyway because npm run test:text fails on a stat without one: the day the card is switched on, its {effect} has to render as English rather than as dolphinPodLevel."
musselVolleyLevel,,level,mussel barrage,,"on perfect strike, launches a bearded barrage of mussel munitions",,,,,,,
clubLevel,,level,club,,a club in your fin slot.,,,,,,,
clubThrowLevel,,level,thrown club,,hurled homing clubs on a strike,,,,,,,
clubBoomLevel,,level,club blast,,explosive clubbing,,,,,,,
clubIceLevel,,level,club ice,,chill your opps,,,,,,,
clubZapLevel,,level,zap ,,Club Zapper,,,,,,,
clubCount,the bouncer,count,club,,,,,,,,,"The Bouncer's four. Percentages rather than a level, because the card is a multiplier on a class rather than a level of anything — there is no ""club power 3"" to name, only the numbers it moved."
clubDamageMul,the bouncer,percent,club damage,,,,,,,,,
clubKnockMul,the bouncer,percent,club knockback,,,,,,,,,
clubReachMul,the bouncer,percent,club reach,,,,,,,,,
homingShotLevel,,level,homing,,"shots that seek, favouring the biggest body in reach",,,,,,,
maneaterLevel,stack-counters,level,maneater,,every human eaten buffs your seal's damage.,,,,,,,"Counts stacks and nothing else, deliberately: what a stack is WORTH depends on a running total, which is not visible from inside apply(). See applyDamageScaling in stats.js. That makes `level` the honest kind — {effect} would otherwise have to invent a number, which is the exact failure the measured descriptions exist to prevent."
ironLungLevel,stack-counters,level,Iron Lung,,oxygen fueled damage,,,,,,,
bakalarBombDamage,bakalar's boat,flat,bomb damage,,,,,,,,,"What one voicemail bomb hits for. Reads as '+22 ___' on a hover tip beside the boat's other level numbers, so it wants to be short and to name the BOMB rather than the boat. Big Rigz is already folded into the figure."
bakalarBlast,bakalar's boat,flat,blast radius,,,,,m,,,,"How wide the bomb goes off, in world units. Sits next to the damage on the same tip, so the two should not read as the same thing said twice. Splash Zone is folded in. Drop the unit if 'm' is wrong for this game's water."
bakalarBombGap,bakalar's boat,flat,between bombs,,,,,s,TRUE,,,"Seconds between bomb drops while the boat is sailing. LOWER IS BETTER — the lower column is set, so a level that cuts it renders as a gain rather than a loss. Phrase it so '-0.32s ___' reads right."
bakalarNetDepth,bakalar's boat,flat,net depth,,,,,,,,,How far the net hangs below the surface. This is the ONLY part of the net that grows with level — the mouth is a fraction of the hull and never changes — so the wording must not imply the whole net gets bigger. The card's old desc said '+net size' and was wrong about exactly this.
bakalarGrip,bakalar's boat,flat,net grip,,,,,,,,,"How hard the net holds. It divides a creature's resistance, so a bigger number drags bigger fish and drags everything faster; it is not a speed and not a size. Abstract quantity with no unit — name it so a bare number reads as a strength."
bakalarSailGap,bakalar's boat,flat,between calls,,,,,s,TRUE,,,"Seconds before the boat comes round again. LOWER IS BETTER. Pairs with 'between bombs' on the same tip, so the two labels should be tellable apart at a glance — one is how often the boat arrives, the other how often it drops while it is here."
seagullHit,seagull bomb,flat,direct hit,,,,,,,,,"Damage to whatever the bird lands ON. Sits beside the splash on the same tip and the two must be tellable apart — this one only ever hits the single crab that happened to be under it, which is why it is the smaller half of the card."
seagullSplash,seagull bomb,flat,blast damage,,,,,,,,,"Damage from the explosion, which is what the card is actually for — the run IS the blast. Should read as the bigger, more important of the two damage rows."
seagullSplashRadius,seagull bomb,flat,blast radius,,,,,m,,,,"How wide the explosion reaches. Drop the 'm' if that unit is wrong for this game's water — it is used on Bakalar's blast too, so change both together."
garlicDps,sea garlic,flat,DPS,,,,,,,,,"What a creature standing in the cloud takes per second. Deliberately a DPS and not a per-tick figure — the 0.25s tick is an implementation detail, and a player is comparing this against every other ability they could take instead."
garlicRadius,sea garlic,flat,radius,,,,,m,,,,"How far the cloud reaches. Sits beside the damage row on the same tip; the point of showing both is that a stack now buys strength as well as size, so neither label should imply it is only one of the two. Same 'm' as the two blast radii — change all three together."
sardineDamage,sardine swirl,flat,Swirl Size,,,,,,,,,"one row of the Sardine Swirl tip — what a SINGLE sardine hits a creature for on contact, once per creature every 0.4s. One or two words, lower case, sitting beside the two rows below it in the same tip. Compare ""DPS"" and ""radius"" on the sea garlic rows."
sardinePairs,sardine swirl,count,Sardines,Sardines,,,,,,,,"one row of the Sardine Swirl tip — how many PAIRS are in the water (the measured number is pairs, not bodies, because a sardine is always seeded with a twin a hair away from it and the two coming apart is the whole ability). One or two words, lower case, and it should not read as a count of individual fish. `plural` only if adding an ""s"" is wrong."
sardineSpan,sardine swirl,flat,Swirl Size,,,,,m,,,,"one row of the Sardine Swirl tip — how wide the school is drawn, in world units, which is the second thing a stack buys and the reason a maxed swirl covers ground a first pick does not. One or two words, lower case. Same unit as sea garlic's ""radius"" row; if the word there changes, change this one with it."
eelDamage,electric eel,flat,dmg,,,,,,,,,"What one bolt hits for. Note the tip's figure is the LEVEL curve only — a storm multiplies it on top (CONFIG.eel.storm), deliberately left out so the number does not change with the weather while a thumb is held down."
eelChain,electric eel,count,target,targets,,,,,,,,"How many bodies one bolt chains through. A count, so it pluralises — 'chains to 5 ___'. Sits beside the reach row and the two must be tellable apart: this is HOW MANY, that is HOW FAR between them."
eelChainRadius,electric eel,flat,reach,,,,,m,,,,How far a bolt will hop to find the next body. Same 'm' as the blast radii — change them together or not at all.
calamariDamage,calamari ring,flat,dmg,,,,,,,,,What the shockwave hits for as it sweeps out.
calamariRadius,calamari ring,flat,reach,,,,,m,,,,"How far the wave travels before it dies. The card's whole existence is its reach, so this is the row that sells it."
calamariGap,calamari ring,flat,between waves,,,,,s,TRUE,,,"Seconds between pulses. LOWER IS BETTER — the column is set, so a level that cuts it reads as a gain. It hits a floor inside the cap and drops off the tip after that."
orcaCount,orca family,count,orca,orcas,,,,,,,,"THE NOUN FOR ONE MEMBER OF THE POD, singular in `label` and plural in `plural` — the card renders it as ''+1 more orca'' on every pick and the hover tip as a count beside the damage rows. One or two words, lowercase, no article; it sits mid-sentence after a number. Seen on the Orca Family card every time it is offered, and in the tip for the whole run. ''orca'' is only the placeholder shape — whale, family member and anything else that reads as one animal of three are all open."
orcaDamage,orca family,flat,strike damage,,,,,,,,,What one orca's charge hits for. Big Rigz is folded in.
orcaGap,orca family,flat,between strikes,,,,,s,TRUE,,,Seconds before the pod attacks again. LOWER IS BETTER.
orcaChargeSpeed,orca family,flat,charge speed,,,,,,,,,"How fast an orca crosses to its target. Last in the readout's order on purpose — beside damage and cadence it reads as flavour, so the four-row cap drops it first."
belugaBubble,baby beluga,flat,bubble size,,,,,m,,,,"How big a trapped fish's bubble is — which is really how big a fish it can take. The card deals no damage at all, so this and the trap length are the whole of what a stack buys."
belugaTrap,baby beluga,flat,trap length,,,,,s,,,,"How long a fish stays held. Pairs with the bubble size on the same tip; one is what it can catch, the other is how long it keeps it."
dumboTargets,dumbo octopus,count,charmed at a time,charmed at a time,,,,,,,,"How many fish the dumbo can hold charmed simultaneously. A ROUNDED STEP — 1 at stack 1, 2 by stack 4 — so on the picks in between it shows dimmed and unchanged rather than vanishing. Phrase it so it reads sensibly both as a change (+1 ___) and standing still (2 -> 2)."
dumboCharm,dumbo octopus,flat,charm time,,,,,s,,,,"How long a fish stays charmed. The card deals no damage at all, so this and the count are most of what a stack buys."
dumboGap,dumbo octopus,flat,between charms,,,,,s,TRUE,,,Seconds before it charms again. LOWER IS BETTER.
dumboRange,dumbo octopus,flat,reach,,,,,m,,,,"How far it will look for something to charm. Last in the readout's order, so the four-row cap drops it first."
octoArms,octopus grabber,count,arm,arms,,,,,,,,How many fish it can drag at once. Another rounded step — dimmed and unchanged on the picks where it does not tick.
octoReach,octopus grabber,flat,arm reach,,,,,m,,,,How far an arm will stretch for a fish.
octoReel,octopus grabber,flat,yoink speed,,,,,,,,,How fast it drags what it has caught. Last in the order — the cap drops it before the two above.
musselCount,mussel barrage,count,mussel,mussels,,,,,,,,"How many go out in one barrage. With the damage row, the whole card."
musselDamage,mussel barrage,flat,direct damage,,,,,,,,,What one mussel hits for on contact.
musselSplash,mussel barrage,flat,splash damage,,,,,,,,,"What the small burst around each hit does. A fraction of the direct hit and last in the order, so the four-row cap usually drops it — it is here so the number exists, not because it needs to be read every time."
clubDamage,driftwood club,flat,swing damage,,,,,,,,,"What one connecting swing hits for. The Bouncer's multiplier is already folded in, so this is what YOUR club does rather than a bare one."
clubReach,driftwood club,flat,club size,,,,,m,,,,"How far the head sits from the fin — the weapon's whole reach, and with it the arc the swing draws."
clubCarom,driftwood club,flat,carom dmg,,,,,,,,,"What a THROWN club hits for as it bounces. It is on this card and not on Hurler because the Driftwood level is what buys it — Hurler's own level only buys how many go out. If that reads oddly on a player who holds Hurler and not Driftwood, that is the game being odd, not the label."
clubBounces,driftwood club,count,bounces,bounces,,,,,,,,"How many bodies a thrown club caroms off before it settles. A rounded step, so it shows dimmed and unchanged on the picks where it does not tick."
clubBoomDamage,boom boom club,flat,blast dmg,,,,,,,,,What the explosion on a club hit does. Independent of the Driftwood level — this card scales entirely on its own.
clubBoomRadius,boom boom club,flat,blast radius,,,,,m,,,,How wide it goes off. Splash Zone widens it; the Bouncer deliberately does not.
clubIceFreeze,cold snap,flat,freeze time,,,,,s,,,,"How long a body is frozen solid once enough hits have landed. The card deals no damage whatsoever, so this and the slow are the entire output."
clubIceSlow,cold snap,flat,slow per hit,,,,,,,,TRUE,"How much each hit slows a body, as a share of its speed — percentOfOne is set, so 0.06 renders as +6%. Enough of them stack into the freeze above."
clubZapDamage,[DRAFT] zappy club,flat,arc dmg,,,,,,,,,"What the FIRST body down the chain takes — a share of the swing (CONFIG.clubZap.share), so the Driftwood level, a damage roll and the Bouncer all move it. Every hop after this one is arcFalloff of the one before."
clubZapArcs,[DRAFT] zappy club,count,hit,hits,,,,,,,,"How many bodies one chain may reach. A rounded step, so it shows dimmed and unchanged on the picks where it does not tick — and a hop that KILLS costs two, so a chain through a school reaches fewer than this."
clubZapRange,[DRAFT] zappy club,flat,reach,,,,,m,,,,"How far each hop looks for its next body, from the LAST body rather than from the seal — so the chain walks outward through a crowd rather than staying inside one circle."
clubThrowCount,hurler,count,clubs thrown,clubs thrown,,,,,,,,"How many go out on a FULL charge — a half charge throws fewer, and the card can only honestly promise what a committed release does. This is the whole of what Hurler's own level buys; what the clubs DO belongs to Driftwood."
harpDamage,harp seal,flat,note damage,,,,,,,,,What one note hits for. Half of the card is the note that charms; the other half is the aura the charmed body drags around. This and 'charm length' are the note's two rows.
harpCharm,harp seal,flat,charm time,,,,,s,,,,How long the biggest nearby enemy fights for you.
harpAuraDamage,harp seal,flat,aura damage,,,,,,,,,"What the ring around a charmed body does. The ledger books this separately and it is roughly SEVEN EIGHTHS of the card's whole output, so it wants to read as the important half."
harpAuraRadius,harp seal,flat,aura radius,,,,,m,,,,How wide that ring is.
harpGap,harp seal,flat,note rate,,,,,s,TRUE,,,"Seconds between notes. LOWER IS BETTER. Fifth in the order, so the four-row cap normally drops it."
harpAuraLength,harp seal,flat,aura length,,,,,s,,,,How long the ring lasts on a body. Sixth in the order — usually dropped by the cap.
laserDamage,laser eyes,flat,beam damage,,,,,,,,,What one cut does.
laserBeams,laser eyes,count,beam,beams,,,,,,,,How many beams fire at once. A ROUNDED STEP at 0.34 a level — the second arrives at stack four and a third never does inside the cap — so it shows dimmed and unchanged on the picks between. The single most important thing this card does.
laserReach,laser eyes,flat,reach,,,,,m,,,,How far a beam cuts.
laserGap,laser eyes,flat,between beams,,,,,s,TRUE,,,Seconds between firings. LOWER IS BETTER.
laserBurn,laser eyes,flat,burn,,,,,,,,,"The lingering damage a cut leaves. Fifth in the order — the small rider, which is the row the four-row cap drops."
jetDamage,bubble jet,flat,DPS,,,,,,,,,"What one TICK of the stream does — it hits ten times a second per body, so this number is small next to a bullet's and the label should not imply a single hit. Two or three words."
jetHold,bubble jet,flat,time,,,,,s,,,,"How long the stream stays open. WITH jetCool below, this is what the card actually sells — put it first in the reading order, and the two want labels that read as a pair."
jetCool,bubble jet,flat,frequency,,,,,s,TRUE,,,"Seconds of venting between streams. LOWER IS BETTER, which the `lower` column already handles — the label just has to make the direction obvious at a glance."
jetReach,bubble jet,flat,distance,,,,,m,,,,"How far the stream goes. Same shape as the laser's `reach` row above; it can borrow that word or not."
jetWidth,bubble jet,flat,phatness,,,,,,,,,"How thick the stream is, which is also its hit radius — a fatter one genuinely touches more. Last in the order: the small rider, and the row the four-row cap drops."
oysterDamage,oyster blaster,flat,dmg,,,,,,,,,What the pearl itself hits for before it bursts.
oysterBomblets,oyster blaster,count,popping boba,bobas,,,,,,,,"How many glowing bomblets a burst throws. A rounded step, so it shows dimmed on the picks where it does not tick."
oysterBlast,oyster blaster,flat,boba size,,,,,m,,,,How wide each bomblet goes off.
oysterGap,oyster blaster,flat,between pearls,,,,,s,TRUE,,,Seconds between shots. LOWER IS BETTER.
oysterBombletDamage,oyster blaster,flat,boba dmg,,,,,,,,,What one bomblet does. Fifth in the order — the small rider the cap drops.
sealTeamCount,seal team,count,escort,escorts,,,,,,,,"How many seals swim with you. THE COUNT IS THE LEVEL, capped at maxSeals — so a pick really does buy a seal each time until the cap, and only damage after that. The card is numbered per stack and this is why."
sealTeamDamage,seal team,flat,ram dmg,,,,,,,,,What one escort's ram hits for. Big Rigz is folded in.
razorDamage,razor clams,flat,blade dmg,,,,,,,,,What one blade hits for.
razorCount,razor clams,count,blade,blades,,,,,,,,How many go out per volley.
razorGap,razor clams,percent,rate,,,,,s,TRUE,,,"Seconds between volleys — and it COMPOUNDS rather than stepping, so the tip renders it as a multiplier (x0.95 a level) rather than a subtraction. LOWER IS BETTER; the column is set. The delta is a multiplier (the curve compounds) and the span is the seconds themselves, so the unit has to be on the span or the row reads as two different quantities."
razorPierce,razor clams,count,body count,body count,,,,,,,,"How many bodies one blade passes through. A rounded step, capped at pierceMax."
starfishDamage,starfish shuriken,flat,shuriken dmg,,,,,,,,,What one shuriken hits for.
starfishGap,starfish shuriken,percent,rate,,,,,s,TRUE,,,"Seconds between throws, compounding — rendered as a multiplier like the razor clam's. LOWER IS BETTER. The delta is a multiplier (the curve compounds) and the span is the seconds themselves, so the unit has to be on the span or the row reads as two different quantities."
starfishSize,starfish shuriken,flat,size,,,,,m,,,,"How big each one is, which is also how easily it connects."
starfishPierce,starfish shuriken,count,bodies cut,bodies cut,,,,,,,,"How many bodies one passes through. Rounded step, capped."
homingReach,homing pebbles,flat,seek range,,,,,m,,,,"How far a pebble will look for something to bend toward. The ONLY row this card gets: its level also moves a turn rate and a size bias, and both are facts about the simulation rather than about the pebbles."
ironLungBonus,iron lung,percent,damage bonus,,,,,,,,TRUE,"How much extra damage the held breath is worth, as a share — percentOfOne is set, so 0.4 renders as +40%. Measured AT A FULL BREATH: the live bonus follows the oxygen bar down (see ironLungMul in stats.js), and a tip whose number fell while you read it would be unreadable. It still scales with max oxygen, so every Yoga raises this. If the label should say the number is a peak rather than a constant, this is the row to change."
biolumShockChance,glow up — voltaic,percent,arc chance,,,,,,,,TRUE,"How often a shot arcs to a second fish. Capped at chanceMax, so it stops moving before the stack cap does."
biolumShockArcs,glow up — voltaic,count,arc,arcs,,,,,,,,How many bodies one arc reaches. A rounded step.
biolumVenomDps,glow up — venom,flat,poison per second,,,,,,,,,Damage per second while poisoned. THE ONLY THING a venom level buys — its duration and stack cap are flat — which is worth knowing and was invisible before.
biolumChillSlow,glow up — chill,percent,freeze amount,,,,,,,,TRUE,"How much each shot slows a body, as a share of its speed. Capped at maxSlow. Enough of them stack into the freeze."
biolumChillFreeze,glow up — chill,flat,freeze length,,,,,s,,,,How long a body stays frozen once the slow tops out.
biolumInfectDps,glow up — infected,flat,infection per second,,,,,,,,,Damage per second while infected.
biolumInfectSpread,glow up — infected,flat,spread range,,,,,m,,,,How far the infection jumps to the next fish — the thing that makes this element scale with a crowd.
biolumInfectBurst,glow up — infected,flat,burst damage,,,,,,,,,What a host's death does to everything near it.
